,Date,Minimum temperature (C),Maximum temperature (C),Rainfall (mm),Sunshine (hours),Speed of maximum wind gust (km/h),9am Temperature (C),9am relative humidity (%),9am cloud amount (oktas),9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind speed (km/h),3pm MSL pressure (hPa),avg_demand
162,18/08/2021,12.8,19.2,0.0,0.2,24.0,15.5,73.0,7,4,1024.2,19.1,58.0,8,4,1021.5,6044.130625000001
163,21/08/2021,12.0,26.4,0.0,10.7,17.0,18.9,68.0,0,4,1023.0,24.8,48.0,1,7,1018.6,5386.730416666666
164,23/08/2021,13.7,24.9,0.0,,28.0,19.1,76.0,1,6,1021.5,23.3,52.0,1,9,1016.4,5709.526250000002
165,24/08/2021,13.8,21.0,4.2,,56.0,13.8,85.0,7,17,1013.7,20.2,29.0,1,22,1010.8,5858.752916666665
166,26/08/2021,9.6,21.9,,10.3,,14.7,43.0,4,11,1018.9,21.6,19.0,1,9,1014.8,5896.651458333331
167,27/08/2021,,23.4,,11.2,,16.6,41.0,0,6,1019.9,22.9,20.0,1,13,1015.5,5830.306666666667
168,28/08/2021,8.3,24.7,0.0,11.0,19.0,16.0,45.0,1,4,1020.5,23.7,29.0,1,7,1014.8,5517.233541666667
169,29/08/2021,10.4,24.7,0.0,8.8,22.0,15.8,51.0,7,4,1018.2,24.2,52.0,1,7,1012.4,5501.739999999999
170,30/08/2021,10.4,28.0,0.0,10.0,20.0,20.7,44.0,0,7,1019.5,24.5,33.0,7,9,1016.7,5736.055208333335
171,31/08/2021,14.6,25.7,0.0,5.3,17.0,18.6,65.0,7,4,1023.9,24.0,60.0,1,9,1020.8,5933.774791666664
172,2/09/2021,16.4,23.7,3.4,10.2,35.0,21.1,61.0,2,9,1029.6,21.9,49.0,1,13,1026.5,5880.8875
173,3/09/2021,15.2,24.5,0.2,,31.0,18.6,79.0,7,2,1027.0,22.6,54.0,7,11,1023.5,5913.279166666667
174,4/09/2021,14.4,24.3,2.2,,24.0,19.4,74.0,4,4,1024.3,22.1,59.0,2,11,1019.9,5588.0647916666685
175,5/09/2021,15.0,24.4,0.0,3.0,35.0,19.2,74.0,7,4,1020.0,20.7,77.0,7,2,1016.4,5720.598333333334
176,6/09/2021,11.1,23.8,0.2,9.9,24.0,15.7,48.0,6,7,1024.5,23.4,24.0,2,6,1019.9,5816.751041666666
177,8/09/2021,9.8,23.9,0.0,,22.0,17.4,53.0,1,6,1030.7,23.3,43.0,2,7,1027.5,5778.427500000002
178,9/09/2021,12.3,25.0,0.0,10.3,19.0,18.7,62.0,1,7,1031.0,23.0,43.0,1,9,1026.3,5747.886458333334
179,10/09/2021,12.1,30.1,0.0,10.7,19.0,19.9,59.0,0,4,1025.1,29.2,23.0,0,6,1019.7,5644.404374999999
180,11/09/2021,12.3,25.9,0.0,11.0,24.0,20.2,54.0,0,4,1021.7,24.5,44.0,1,9,1017.7,5348.935833333336
181,12/09/2021,12.0,26.1,0.0,10.7,33.0,21.3,54.0,1,7,1018.0,24.2,53.0,1,13,1013.0,5369.348750000002
182,13/09/2021,14.7,28.9,0.0,,24.0,23.8,55.0,1,6,1013.9,24.1,73.0,7,7,1009.9,5910.741249999998
183,14/09/2021,14.2,22.5,0.8,,44.0,18.4,35.0,1,9,1017.2,21.4,19.0,2,22,1014.2,5590.387916666668
184,15/09/2021,10.6,24.9,0.0,11.1,24.0,17.8,40.0,0,11,1020.5,23.8,23.0,1,9,1016.7,5555.20625
185,16/09/2021,11.4,24.1,0.0,10.4,28.0,18.4,48.0,1,6,1022.3,21.8,46.0,1,11,1018.3,5586.128750000003
186,18/09/2021,13.5,25.2,0.0,8.9,30.0,21.4,59.0,1,4,1024.7,23.3,52.0,4,11,1020.1,5319.954375
187,19/09/2021,15.5,28.2,0.0,10.9,24.0,23.4,51.0,1,6,1023.1,26.4,35.0,1,11,1019.3,5256.354166666667
188,21/09/2021,16.9,24.7,0.0,11.1,54.0,22.3,36.0,1,13,1011.7,20.3,20.0,2,26,1012.4,5620.6325
189,22/09/2021,,,0.0,11.3,,16.7,35.0,1,15,1021.3,,,1,,,5453.6812500000015
190,23/09/2021,,,,11.4,,,,1,,,23.8,32.0,0,9,1019.0,5560.742916666666
191,24/09/2021,,27.0,,11.2,28.0,20.7,57.0,0,4,1020.8,24.7,50.0,1,11,1014.9,5586.894375
192,25/09/2021,12.1,28.8,0.0,10.8,22.0,22.4,49.0,6,2,1017.4,25.1,47.0,4,7,1013.1,5387.2910416666655
193,26/09/2021,16.6,26.0,0.0,4.2,39.0,22.5,59.0,7,11,1019.2,22.6,57.0,7,13,1017.2,5438.576041666666
194,27/09/2021,15.2,19.8,0.4,0.5,24.0,18.7,68.0,8,7,1023.9,19.3,53.0,7,13,1020.7,6081.214999999999
195,28/09/2021,13.9,21.8,0.0,2.0,24.0,19.5,49.0,8,11,1023.7,20.6,48.0,8,11,1020.5,5994.265
196,29/09/2021,13.0,23.6,0.2,1.0,31.0,20.7,61.0,8,7,1022.7,21.4,55.0,8,13,1019.4,6068.969791666667
197,30/09/2021,17.1,26.7,3.4,7.0,28.0,20.5,75.0,7,9,1018.9,22.9,73.0,6,9,1012.9,5975.4608333333335
198,2/10/2021,12.6,28.9,8.8,11.2,35.0,19.2,70.0,0,4,1008.5,28.5,26.0,3,17,1003.0,5281.205868055558
199,3/10/2021,14.0,30.9,0.0,11.6,26.0,24.5,44.0,3,2,1008.5,28.0,31.0,1,13,1003.6,5214.8873611111085
200,4/10/2021,15.3,36.6,0.0,10.8,30.0,24.1,64.0,1,2,1005.4,36.0,15.0,1,15,1000.5,5659.384722222221
201,6/10/2021,14.6,27.1,0.0,,22.0,23.0,29.0,0,6,1016.8,24.6,36.0,0,11,1013.5,5643.542361111107
202,7/10/2021,14.2,26.4,0.0,8.6,26.0,23.2,55.0,1,4,1016.9,24.2,55.0,7,9,1013.0,5796.789097222222
203,8/10/2021,16.8,29.1,0.6,11.3,30.0,25.0,44.0,1,7,1017.3,26.2,52.0,1,11,1015.4,5837.280000000001
204,9/10/2021,17.9,27.7,0.0,,26.0,24.2,64.0,3,4,1019.9,26.0,50.0,1,11,1016.0,5543.313437500002
205,11/10/2021,18.9,28.3,0.0,7.1,24.0,24.1,56.0,7,6,1012.3,25.6,57.0,7,9,1008.1,5998.236979166662
206,12/10/2021,16.1,22.4,35.2,0.7,28.0,18.2,86.0,8,2,1011.3,21.6,72.0,7,9,1008.5,6134.806215277779
207,13/10/2021,16.8,24.9,0.6,7.8,31.0,20.0,84.0,7,9,1013.4,22.8,67.0,3,13,1011.0,5981.359270833331
208,14/10/2021,17.1,26.2,51.4,,26.0,18.3,94.0,8,7,1013.8,23.9,57.0,7,11,1010.1,6178.730868055556
209,15/10/2021,18.1,30.1,0.8,,31.0,26.2,71.0,5,4,1008.2,26.8,55.0,1,13,1004.3,6060.573263888887
210,16/10/2021,12.1,27.7,0.2,12.8,48.0,23.0,34.0,1,13,1010.4,27.4,19.0,1,17,1007.0,5293.893159722225
211,17/10/2021,12.5,27.6,0.0,12.1,24.0,22.4,32.0,0,6,1016.3,26.1,30.0,1,9,1011.9,5282.6830902777765
212,18/10/2021,17.0,26.1,0.0,,31.0,24.1,62.0,7,4,1017.8,23.1,74.0,8,9,1014.3,6193.548854166669
213,19/10/2021,14.9,28.4,18.0,,19.0,19.9,73.0,2,7,1017.2,26.7,42.0,2,7,1012.4,5821.947534722217
214,20/10/2021,16.0,27.3,0.0,11.5,33.0,24.5,60.0,1,6,1015.4,23.8,67.0,7,11,1011.9,5923.190486111104
215,21/10/2021,16.6,26.7,2.4,8.5,33.0,23.7,68.0,7,2,1014.8,22.4,61.0,7,13,1012.0,6051.522465277777
216,22/10/2021,18.4,26.9,9.2,6.4,30.0,21.6,88.0,7,6,1016.2,25.9,64.0,2,7,1013.8,6132.433854166669
217,26/10/2021,20.4,27.1,1.4,6.3,31.0,24.9,59.0,7,2,1018.2,25.0,59.0,5,13,1015.1,6192.878298611112
218,27/10/2021,20.2,28.3,0.0,10.5,28.0,25.7,64.0,5,4,1018.9,27.0,55.0,1,9,1015.0,6229.159270833335
219,28/10/2021,22.9,30.1,0.0,10.5,30.0,26.5,63.0,3,4,1015.6,28.2,62.0,1,15,1010.0,6460.798576388885
220,29/10/2021,22.1,29.5,0.4,,33.0,25.6,66.0,7,4,1013.2,25.1,55.0,8,15,1013.2,6280.543194444451
221,31/10/2021,19.4,23.6,12.0,8.4,39.0,23.5,60.0,7,15,1020.7,22.7,52.0,7,15,1021.4,5616.48815972222
222,1/11/2021,16.0,24.1,0.0,4.7,28.0,21.4,55.0,7,7,1026.2,22.7,47.0,7,9,1023.7,5988.0196875
223,2/11/2021,17.6,25.4,0.0,2.4,28.0,22.5,58.0,7,9,1025.6,23.0,54.0,7,11,1023.3,6095.617604166668
224,3/11/2021,17.2,24.3,0.2,9.0,35.0,23.8,55.0,3,7,1025.6,23.3,54.0,7,15,1022.3,5895.860868055551
225,5/11/2021,17.4,25.3,0.0,2.4,24.0,22.6,57.0,7,6,1020.3,23.0,63.0,7,13,1016.8,5957.316875
226,6/11/2021,17.7,25.3,1.2,9.5,24.0,21.6,70.0,7,6,1016.9,24.2,61.0,7,11,1013.1,5629.10822916667
227,7/11/2021,20.3,27.2,0.0,6.5,31.0,25.2,60.0,7,7,1013.5,25.8,62.0,7,13,1009.2,5754.358750000002
228,8/11/2021,20.8,28.4,12.6,5.3,26.0,22.1,79.0,8,6,1009.4,25.6,81.0,8,4,1006.3,6443.895347222224
229,10/11/2021,22.9,29.5,0.0,7.5,30.0,25.6,79.0,7,9,1011.9,26.8,76.0,6,9,1007.4,6622.427847222222
230,11/11/2021,23.4,31.4,2.4,3.6,30.0,28.9,63.0,7,7,1007.1,25.7,85.0,8,7,1005.1,6894.938784722224
231,13/11/2021,17.2,27.4,0.2,13.0,46.0,21.7,38.0,1,20,1008.3,26.8,26.0,2,19,1005.7,5358.324340277775
232,14/11/2021,12.1,28.3,0.0,13.0,,23.7,29.0,1,7,1013.2,27.8,22.0,1,15,1008.9,5293.470833333333
233,15/11/2021,12.8,30.5,0.0,13.2,,25.7,30.0,0,,1013.2,30.3,19.0,0,13,1009.1,5791.701388888884
234,16/11/2021,16.3,29.4,0.0,11.3,22.0,25.4,30.0,5,2,1015.7,28.4,24.0,6,11,1013.0,5995.952291666671
235,17/11/2021,19.7,26.2,0.0,,35.0,24.7,59.0,5,15,1021.3,24.4,54.0,6,15,1018.9,6161.631215277784
236,18/11/2021,19.4,25.9,0.6,,26.0,22.4,63.0,7,4,1022.4,24.1,55.0,6,13,1018.0,6105.662222222227
237,19/11/2021,16.5,27.8,0.0,12.6,22.0,24.1,54.0,2,6,1018.7,27.2,52.0,6,7,1015.1,6006.616319444445
238,20/11/2021,18.4,30.1,0.0,11.0,26.0,26.5,54.0,1,4,1015.5,28.3,55.0,4,9,1012.0,5901.564027777775
239,22/11/2021,19.3,25.9,23.6,4.6,26.0,21.8,94.0,7,2,1014.3,24.8,65.0,7,11,1012.4,6282.854548611111
240,23/11/2021,19.4,26.8,13.2,,30.0,24.3,72.0,7,11,1016.2,23.1,85.0,7,11,1014.2,6249.541006944444
241,24/11/2021,20.2,27.5,121.0,5.0,33.0,22.9,93.0,7,4,1015.9,26.1,71.0,7,9,1013.0,6469.803125000002
242,26/11/2021,22.8,28.6,9.8,5.3,31.0,25.1,87.0,7,4,1008.7,26.7,74.0,7,11,1005.2,6483.631666666668
243,27/11/2021,21.9,27.7,0.2,,24.0,26.0,72.0,7,4,1010.9,25.0,69.0,8,9,1010.5,6123.552951388886
244,28/11/2021,20.8,28.1,0.0,5.8,30.0,25.0,62.0,7,11,1016.7,26.2,59.0,6,9,1015.1,5869.724583333339
245,29/11/2021,21.0,27.0,0.0,1.3,31.0,25.0,63.0,8,11,1017.9,25.6,62.0,8,11,1015.6,6390.033055555558
246,30/11/2021,20.5,23.0,30.2,0.0,22.0,21.4,94.0,8,2,1015.6,22.9,91.0,8,6,1012.0,6518.906354166668
247,2/12/2021,21.8,29.5,5.2,8.6,19.0,26.5,69.0,5,4,1013.2,27.5,66.0,6,9,1010.7,6521.1024652777805
248,3/12/2021,21.2,30.4,,12.5,24.0,27.6,59.0,4,7,1014.8,29.7,58.0,2,11,1012.2,6581.929097222218
249,4/12/2021,20.4,30.1,,10.7,46.0,27.6,59.0,2,6,1013.2,29.5,53.0,1,7,1008.8,6080.993819444447
250,6/12/2021,18.6,28.1,,8.8,28.0,23.6,72.0,4,6,1016.3,26.1,61.0,6,15,1013.2,6211.566284722225
251,8/12/2021,21.7,29.3,,3.6,33.0,26.2,65.0,8,4,1013.2,23.4,66.0,8,17,1012.1,6549.938055555557
252,9/12/2021,19.6,32.0,,11.2,33.0,26.3,55.0,1,6,1010.4,28.9,63.0,3,7,1005.8,6500.988611111108
253,10/12/2021,20.0,31.5,17.8,11.5,28.0,26.6,65.0,3,6,1008.7,30.3,39.0,3,13,1005.6,6521.351493055564
254,11/12/2021,17.7,30.1,,13.2,28.0,26.4,38.0,0,7,1011.5,26.9,51.0,3,15,1009.4,5832.047187500004
255,12/12/2021,20.4,28.1,0.0,12.5,28.0,25.7,60.0,4,6,1014.3,26.2,55.0,1,13,1011.6,5820.485902777775
256,13/12/2021,19.9,27.9,0.0,11.6,28.0,26.3,56.0,3,6,1013.2,26.4,58.0,1,15,1009.9,6246.771909722222
257,15/12/2021,18.7,30.5,0.0,,20.0,25.8,51.0,1,6,1012.9,28.9,47.0,1,9,1009.9,6243.322013888889
258,16/12/2021,19.9,31.1,0.0,,20.0,26.8,59.0,2,2,1012.3,29.7,39.0,6,9,1010.3,6499.725208333336
259,17/12/2021,20.9,29.8,0.0,8.9,22.0,27.7,57.0,4,9,1015.8,25.5,69.0,6,11,1013.9,6587.257013888889
260,20/12/2021,21.7,33.3,0.0,,22.0,28.0,57.0,7,2,1015.2,30.9,54.0,7,9,1012.0,6966.411319444443
261,21/12/2021,23.2,32.5,0.0,,24.0,29.5,51.0,7,2,1014.8,31.1,55.0,7,7,1011.2,7098.8076736111125
262,22/12/2021,22.2,31.5,0.0,12.1,26.0,28.3,55.0,2,4,1011.9,30.3,48.0,6,11,1008.0,6952.782673611111
263,23/12/2021,21.2,31.1,0.0,9.3,31.0,27.8,61.0,7,4,1011.1,23.8,90.0,7,6,1009.6,6989.233819444446
264,24/12/2021,22.5,31.6,17.0,,37.0,27.6,73.0,5,6,1012.0,25.2,73.0,7,9,1009.3,6842.234618055557
265,25/12/2021,22.8,30.0,0.0,,33.0,27.0,65.0,7,6,1012.4,24.4,83.0,8,4,1010.5,5926.27423611111
266,26/12/2021,20.8,28.4,7.6,3.0,26.0,25.8,74.0,7,6,1012.3,27.1,62.0,7,7,1009.5,5780.257395833332
267,27/12/2021,21.3,28.9,0.0,4.3,24.0,27.8,59.0,7,7,1010.1,22.1,87.0,8,7,1008.0,6021.094340277775
268,28/12/2021,19.6,25.7,14.6,1.7,44.0,23.3,60.0,8,15,1012.9,24.7,50.0,8,19,1012.0,5842.360798611113
269,30/12/2021,17.8,27.7,0.0,7.7,33.0,22.6,65.0,7,7,1014.6,25.4,55.0,5,13,1012.9,5791.680624999997
270,31/12/2021,18.9,25.6,0.0,2.2,35.0,24.7,62.0,8,11,1013.8,24.0,72.0,8,11,1011.7,5991.452048611109
271,1/01/2022,20.9,26.6,,0.3,20.0,22.7,85.0,8,6,1012.0,23.1,75.0,8,7,1010.1,5993.274236111109
272,4/01/2022,22.9,31.8,0.0,8.6,35.0,28.1,55.0,7,13,1002.1,31.1,48.0,6,15,1001.5,6809.661701388885
273,5/01/2022,23.4,30.3,0.2,9.3,31.0,27.9,64.0,6,13,1005.1,29.4,63.0,4,13,1004.0,6935.128472222222
274,6/01/2022,23.2,30.0,3.8,5.0,35.0,28.0,69.0,7,9,1009.5,27.8,65.0,7,15,1009.1,7002.031562499994
275,7/01/2022,24.8,28.8,0.0,0.6,43.0,27.1,76.0,8,17,1012.0,25.2,86.0,8,11,1010.9,7100.388055555548
276,8/01/2022,23.7,27.6,9.4,0.0,22.0,25.0,87.0,8,6,1012.2,26.6,77.0,8,7,1010.7,6771.525416666666
277,9/01/2022,23.5,30.3,0.6,7.4,24.0,26.1,79.0,7,2,1014.0,28.4,63.0,3,7,1012.5,6557.545416666664
278,10/01/2022,21.5,30.4,,12.9,28.0,27.9,63.0,2,9,1017.8,29.1,51.0,1,13,1016.6,6692.0820138888885
279,11/01/2022,22.6,29.8,0.2,11.5,33.0,27.9,55.0,7,13,1018.2,28.8,53.0,1,13,1016.2,6566.839965277779
280,12/01/2022,19.4,29.7,0.0,,31.0,24.8,70.0,7,6,1017.3,28.4,49.0,1,15,1014.1,6437.462500000004
281,13/01/2022,20.4,29.8,0.2,,30.0,27.1,55.0,5,9,1015.8,29.4,47.0,1,13,1012.7,6453.316874999996
282,14/01/2022,19.8,29.6,0.0,10.9,28.0,26.0,63.0,6,4,1012.4,28.5,54.0,5,11,1009.2,6582.101458333327
283,15/01/2022,19.9,30.7,0.0,13.0,26.0,27.3,57.0,2,2,1009.7,30.0,53.0,1,11,1007.3,6373.9217708333335
284,16/01/2022,21.2,31.4,4.2,,35.0,25.7,73.0,7,4,1009.0,30.4,56.0,5,9,1006.2,6545.114027777778
285,17/01/2022,23.5,32.4,,,26.0,29.6,56.0,1,6,1010.8,30.6,56.0,6,11,1008.9,7361.100347222222
286,19/01/2022,22.7,32.4,0.0,10.2,,27.1,73.0,6,Calm,1012.4,30.4,52.0,3,13,1010.2,7341.448715277777
287,20/01/2022,21.7,26.7,,0.0,30.0,24.5,80.0,8,11,1016.0,23.4,84.0,8,11,1016.5,6844.362812499997
288,21/01/2022,21.0,28.0,19.2,,44.0,24.9,58.0,7,19,1021.1,26.5,50.0,6,15,1019.8,6382.088298611113
289,22/01/2022,19.3,27.7,1.6,,35.0,23.2,80.0,7,6,1018.2,24.9,61.0,7,9,1015.8,5979.975173611109
290,23/01/2022,19.3,28.3,2.0,10.2,28.0,25.0,60.0,5,9,1014.4,27.2,55.0,5,13,1011.4,5869.188645833327
291,24/01/2022,19.4,29.8,0.0,10.4,22.0,25.7,60.0,7,6,1012.5,27.5,58.0,7,11,1008.7,6512.310520833327
292,25/01/2022,21.8,30.5,0.0,6.7,17.0,27.2,57.0,5,4,1011.4,28.0,60.0,7,7,1008.5,6882.530243055553
293,26/01/2022,23.2,26.6,2.0,0.0,19.0,24.8,88.0,8,4,1012.0,23.8,89.0,8,7,1010.8,6486.740937499999
294,27/01/2022,22.1,28.4,15.2,2.6,22.0,26.2,62.0,7,6,1014.8,26.6,57.0,8,11,1012.9,6633.650763888891
295,28/01/2022,21.5,30.1,3.0,10.6,37.0,24.6,86.0,7,4,1015.4,28.2,52.0,3,17,1013.3,6555.960104166665
296,30/01/2022,21.1,31.6,0.2,11.5,31.0,27.7,64.0,5,9,1012.3,29.4,57.0,7,13,1009.8,6303.988090277777
297,31/01/2022,22.6,32.0,0.0,11.9,19.0,28.8,60.0,6,6,1008.8,31.4,54.0,1,7,1005.2,7180.9332986111085
298,1/02/2022,24.8,34.7,0.0,10.9,30.0,29.4,62.0,5,4,1005.3,32.5,60.0,7,7,1001.2,7574.78434027778
299,4/02/2022,19.7,28.4,20.6,10.7,43.0,25.7,60.0,2,9,1005.9,26.3,53.0,5,15,1006.6,6260.113090277777
300,5/02/2022,18.3,27.4,0.0,9.3,35.0,24.7,53.0,2,11,1011.3,26.2,45.0,7,15,1009.7,5629.43791666667
301,6/02/2022,19.2,26.9,0.0,7.5,44.0,24.6,53.0,7,15,1014.7,24.4,52.0,5,20,1014.7,5568.194062499999
302,8/02/2022,18.0,28.3,0.0,12.5,24.0,24.3,56.0,1,9,1014.8,27.5,46.0,2,11,1011.3,5969.266388888891
303,9/02/2022,18.6,30.0,0.0,12.3,26.0,25.3,56.0,1,6,1013.7,28.4,47.0,1,13,1010.3,6171.941145833331
304,10/02/2022,19.4,31.2,0.0,12.6,30.0,25.8,57.0,1,7,1013.2,30.0,36.0,1,6,1009.5,6249.138090277778
305,13/02/2022,18.6,29.3,7.2,10.4,33.0,24.9,57.0,1,11,1018.3,27.5,47.0,2,17,1017.1,5763.054340277773
306,15/02/2022,19.3,27.1,5.6,,30.0,25.0,72.0,8,7,1022.0,25.3,61.0,7,11,1019.8,6381.246631944441
307,16/02/2022,20.4,28.7,0.2,9.8,26.0,24.9,66.0,2,9,1018.4,28.0,47.0,1,13,1014.8,6343.926215277782
308,17/02/2022,19.1,29.8,0.0,,22.0,25.3,63.0,4,6,1014.2,28.8,49.0,1,11,1010.6,6421.026944444441
309,18/02/2022,20.3,31.9,0.0,,30.0,26.4,64.0,1,6,1011.8,31.1,51.0,2,7,1008.5,6721.880590277781
310,19/02/2022,20.2,31.0,19.2,,35.0,26.6,71.0,2,6,1014.8,27.6,63.0,7,13,1012.8,6384.686840277775
311,21/02/2022,20.6,30.1,0.2,10.4,26.0,26.4,65.0,5,2,1010.9,27.4,66.0,6,9,1008.8,6785.802673611106
312,22/02/2022,21.2,30.3,2.2,5.5,33.0,27.2,68.0,4,9,1013.3,26.3,73.0,8,9,1011.6,6952.896493055558
313,24/02/2022,22.7,28.1,13.4,2.8,41.0,24.9,85.0,7,11,1012.1,26.7,69.0,8,19,1009.7,7003.653125000004
314,25/02/2022,22.6,24.2,64.0,0.0,35.0,23.2,93.0,8,15,1009.3,23.3,94.0,8,4,1006.4,7146.367638888894
315,27/02/2022,20.1,23.6,228.4,0.0,46.0,20.5,96.0,8,7,1007.0,21.1,96.0,8,9,1004.5,6465.356388888891
316,28/02/2022,19.7,29.9,222.8,2.9,26.0,23.4,77.0,7,9,1005.4,27.6,68.0,7,6,1002.6,6477.680798611112
317,1/03/2022,21.0,30.4,5.6,10.2,31.0,26.0,70.0,4,7,1005.9,28.5,61.0,3,13,1003.5,6778.668159722225
318,2/03/2022,21.4,31.4,0.2,10.4,22.0,26.8,67.0,3,6,1006.3,29.2,63.0,1,11,1002.7,7064.1338888888895
319,4/03/2022,19.9,27.5,0.6,3.3,22.0,24.9,79.0,7,4,1007.0,26.7,67.0,7,9,1005.5,6945.641527777778
320,5/03/2022,20.4,31.6,0.0,11.1,17.0,26.3,65.0,1,6,1007.5,28.8,58.0,5,7,1003.9,6601.522430555554
321,6/03/2022,22.3,32.2,0.0,6.7,39.0,28.6,68.0,2,4,1005.5,27.3,87.0,8,7,1002.5,6943.913159722223
322,7/03/2022,19.6,30.6,23.4,9.6,20.0,23.6,67.0,7,7,1005.6,28.0,60.0,3,7,1002.5,6977.266284722226
323,8/03/2022,21.9,34.4,0.2,10.6,20.0,27.7,66.0,1,6,1005.8,34.0,46.0,2,7,1003.1,7559.517812499995
324,9/03/2022,23.3,34.7,0.6,,30.0,25.4,80.0,7,Calm,1009.6,34.3,40.0,4,6,1007.2,7743.377569444445
325,10/03/2022,23.3,27.2,0.2,,24.0,24.9,68.0,8,6,1015.1,24.9,76.0,7,11,1013.0,7119.406388888889
326,11/03/2022,21.6,26.6,0.0,1.6,26.0,24.5,70.0,7,11,1017.0,24.9,66.0,7,13,1015.5,6774.569583333337
327,13/03/2022,18.4,28.7,0.0,,28.0,25.1,60.0,2,6,1021.2,26.8,53.0,3,15,1018.4,5912.545590277779
